fullAddress,PROJECT IRR,expectedIncome,BEDS,BedroomBath,interiorSize,propertyType,totalInvestment,assestPrice,closingCosts,UPFRONT DAO LLC FEES,maintenanceReserve,PROJECTED APPRECIATION,PROJECTED CAP RATE,propertyTaxes,insurance,propertyManagement,ANNUAL DAO LLC ADMINISTRATION AND FILING FEES,netRentPerYear,netRentPerMonth,CUMULATIVE NET CASH FLOW YEAR5,CUMULATIVE APPRECIATION GAIN YEAR5,YOUR INVESTMENT YEAR5,TOTAL INVESTMENT VALUE YEAR5,CUMULATIVE NET CASH FLOW YEAR10,CUMULATIVE APPRECIATION GAIN YEAR10,YOUR INVESTMENT YEAR10,TOTAL INVESTMENT VALUE YEAR10,CUMULATIVE NET CASH FLOW YEAR20,CUMULATIVE APPRECIATION GAIN YEAR20,YOUR INVESTMENT YEAR20,TOTAL INVESTMENT VALUE YEAR20,CUMULATIVE NET CASH FLOW YEAR30,CUMULATIVE APPRECIATION GAIN YEAR30,YOUR INVESTMENT YEAR30,TOTAL INVESTMENT VALUE YEAR30
5003 Deneen Dr Memphis  TN 38109,5.53%,5.93%,3,1.5,903,single family,"$126,654.48","$115,000","$1,500",$200,$837.16,-0.40%,5.93%,$890.03,"$1,225.98",$617.55,$500,"$7,506.44",$625.54,$15.32,-$1.03,$51.31,$65.60,$30.63,-$2.05,$51.31,$79.89,$61.26,-$4.10,$51.31,$108.47,$91.90,-$6.16,$51.31,$137.05
1380 Kimball Cv Memphis  TN 38114,4.33%,5.63%,3,2,1399,single family,"$158,266","$143,000","$2,500",$600,$480.61,-1.30%,5.63%,$815.01,"$1,031.27",$686.55,$500,"$8,907.17",$742.26,$14.29,-$3.34,$51.41,$62.36,$28.58,-$6.68,$51.41,$73.31,$57.17,-$13.37,$51.41,$95.21,$85.75,-$20.05,$51.41,$117.11
8708 Willard Ave Cleveland  OH 44102,11.71%,8.81%,5,2,1900,single family,"$129,929.88","$118,000","$1,500",$600,"$5,448.78",2.90%,8.81%,"$1,188.65",$671,"$1,200",$500,"$11,440.35",$953.36,$21.59,$7.40,$51.04,$80.03,$43.18,$14.80,$51.04,$109.02,$86.36,$29.60,$51.04,$167,$129.54,$44.40,$51.04,$224.98
4245 E 177th Pl Cleveland  OH 44128,8.13%,6.53%,3,1,1008,single family,"$129,801.20","$110,000","$1,500",$200,"$5,149.03",1.60%,6.53%,"$2,572.84",$871,"$1,080",$500,"$8,476.16",$706.35,$8.80,$4.36,$54.49,$67.65,$17.60,$8.72,$54.49,$80.81,$35.20,$17.44,$54.49,$107.13,$52.80,$26.16,$54.49,$133.45
723 12th St Moline  IL 61265,10.38%,8.08%,4,2,1757,single family,"$145,757.03","$132,000","$1,320",$600,"$11,340.05",2.30%,8.08%,"$2,725",$920,"$1,479",$500,"$11,776",$981.33,$20.09,$5.83,$50.73,$76.65,$40.18,$11.67,$50.73,$102.58,$80.36,$23.34,$50.73,$154.42,$120.53,$35,$50.73,$206.27
3038-3040 Sinclair St Memphis  TN 38127,3.09%,3.99%,4,2,1375,duplex,"$161,534.07","$135,000","$2,500",$600,"$1,922.90",-0.90%,3.99%,"$1,180.49","$1,068",$928.05,$500,"$12,463.46","$1,038.62",$7.24,-$2.47,$54.87,$59.64,$14.49,-$4.94,$54.87,$64.42,$28.97,-$9.88,$54.87,$73.96,$43.46,-$14.81,$54.87,$83.51
656 E 126th St Cleveland  Ohio 44108,14.29%,12.29%,4,1,2165,single family,"$76,125.76","$74,280","$1,000",$600,$245.76,2%,12.29%,$637.73,$806,"$1,084.80",$500,"$9,355.47",$779.62,$28.21,$4.70,$46.97,$79.87,$56.41,$9.39,$46.97,$112.77,$112.82,$18.79,$46.97,$178.58,$169.23,$28.18,$46.97,$244.38
1278 E 187th St Cleveland  OH 44110,10.55%,8.65%,3,2,1592,single family,"$86,579.40","$75,000","$1,500",$600,$0,1.90%,8.65%,$772.60,$623,$816,$500,"$7,488.40",$624.03,$14.67,$5.07,$53.34,$73.08,$29.34,$10.13,$53.34,$92.81,$58.67,$20.27,$53.34,$132.28,$88.01,$30.40,$53.34,$171.75
3878 Windermere Rd Memphis  TN 38128,8.53%,6.73%,3,2,1101,single family,"$133,758.33","$115,000","$1,500",$600,"$3,185.76",1.80%,6.73%,$803.05,$722,$666.90,$500,"$9,007.95",$750.66,$17.92,$4.79,$53.24,$75.95,$35.83,$9.58,$53.24,$98.65,$71.66,$19.17,$53.24,$144.07,$107.49,$28.75,$53.24,$189.48
1015 Wycomb Dr Florissant  MO 63033,10.65%,8.25%,3,2,1164,single family,"$140,385.40","$136,413","$1,364",$600,"$2,008.40",2.40%,8.25%,"$1,812.85",$930,"$1,377",$500,"$11,580.15",$965.01,$15.54,$5.70,$47.51,$68.75,$31.07,$11.40,$47.51,$89.98,$62.14,$22.80,$47.51,$132.46,$93.21,$34.21,$47.51,$174.93
20413 Kingsville St Harper Woods  MI 48225,5.11%,5.61%,3,1.5,1104,single family,"$112,896.79","$96,000","$2,500",$600,"$2,218.13",-0.50%,5.61%,"$3,568.71","$1,874.40",$924,$500,"$6,332.89",$527.74,$15.18,-$1.34,$53.73,$67.57,$30.36,-$2.69,$53.73,$81.40,$60.71,-$5.37,$53.73,$109.07,$91.07,-$8.06,$53.73,$136.74
16301 Glendale Ave Cleveland  OH 44128,10.63%,9.03%,3,1,1722,single family,"$116,250","$108,014","$2,236",$600,"$5,400",1.60%,9.03%,"$2,511",$657.22,$867.33,$550,"$10,498.45",$874.87,$22.58,$4,$50,$76.58,$45.15,$8,$50,$103.15,$90.30,$16,$50,$156.30,$135.45,$24,$50,$209.45
1773 Ball Rd Memphis  TN 38114,8.58%,9.88%,3,1,1025,single family,"$91,503.02","$83,450",$835,$600,"$6,618.02",-1.30%,9.88%,$422.50,$791,$649.80,$500,"$9,036.70",$753.06,$24.72,-$3.16,$48.57,$70.14,$49.44,-$6.31,$48.57,$91.70,$98.89,-$12.63,$48.57,$134.83,$148.33,-$18.94,$48.57,$177.96
9583 Pagewood Ave St. Louis  Missouri 63114,9.57%,6.87%,3,1,864,single family,"$125,670.71","$105,000","$1,500",$600,"$8,675.30",2.70%,6.87%,"$1,526.07",$986,"$1,020",$500,"$8,627.93",$718.99,$17.84,$7.25,$53.73,$78.82,$35.68,$14.51,$53.73,$103.91,$71.35,$29.01,$53.73,$154.10,$107.03,$43.52,$53.73,$204.28
16713 Lotus Dr Cleveland  OH 44128,9.72%,8.12%,3,1,1071,single family,"$111,929.37","$105,000","$1,500",$200,"$2,738.14",1.60%,8.12%,"$1,551.67",$732,"$1,032",$500,"$9,084.33",$757.03,$19.76,$3.98,$49.77,$73.51,$39.52,$7.96,$49.77,$97.25,$79.03,$15.93,$49.77,$144.73,$118.55,$23.89,$49.77,$192.21
5133 Dresden Ave St. Louis  MO 63116,12.62%,9.72%,2,1,669,single family,"$110,199.15","$99,360.82","$4,502.18",$600,"$5,736.15",2.90%,9.72%,"$1,346",$668,$999.60,$558,"$10,708.40",$892.37,$24.03,$7.12,$49.09,$80.24,$48.06,$14.24,$49.09,$111.39,$96.12,$28.47,$49.09,$173.68,$144.18,$42.71,$49.09,$235.98
3429 W 8th St Cincinnati  OH 45205,9.55%,7.25%,3,1,1186,single family,"$167,006.48","$155,000","$1,500",$600,"$2,112.61",2.30%,7.25%,$842.69,$895.44,"$1,248",$500,"$12,113.87","$1,009.49",$18.35,$5.86,$50.98,$75.20,$36.71,$11.73,$50.98,$99.41,$73.41,$23.45,$50.98,$147.84,$110.12,$35.18,$50.98,$196.27
333 Illinois Ave Lorain  Ohio 44052,10.35%,8.65%,6,2,3251,duplex,"$198,762.53","$175,000","$1,350",$600,$0,1.70%,8.65%,"$1,724.40","$1,394","$1,809.60",$500,"$17,192","$1,432.67",$21.45,$4.54,$53.36,$79.35,$42.90,$9.07,$53.36,$105.33,$85.80,$18.14,$53.36,$157.31,$128.70,$27.21,$53.36,$209.28
4131 Wright Ave Saint Ann  MO 63074,9.37%,6.77%,2,1,1000,single family,"$125,364.27","$110,500","$2,500",$600,$0,2.60%,6.77%,"$1,541.46","$1,355","$1,320",$500,"$8,483.54",$706.96,$17.67,$6.83,$52.50,$76.99,$35.33,$13.65,$52.50,$101.48,$70.66,$27.30,$52.50,$150.47,$106,$40.95,$52.50,$199.45
3905 E 189th St Cleveland  OH 44122,8.55%,6.05%,3,1,1179,single family,"$128,011.60","$105,000","$1,500",$600,"$4,474.37",2.50%,6.05%,"$2,219.37",$846,$984,$500,"$7,750.63",$645.89,$16.61,$7.01,$56.11,$79.73,$33.22,$14.03,$56.11,$103.35,$66.43,$28.06,$56.11,$150.60,$99.65,$42.08,$56.11,$197.84
7480 Halpin Dr. St. Louis  Missouri 63135,11.26%,8.86%,3,2,1261,single family,"$108,026","$104,000","$3,426",$600,$0,2.40%,8.86%,"$1,063.65",$886,"$1,116.90",$500,"$9,573.45",$797.79,$10.41,$5.64,$46.98,$63.02,$20.81,$11.28,$46.98,$79.07,$41.62,$22.55,$46.98,$111.15,$62.44,$33.83,$46.98,$143.24
18474 Glenmore St Redford  MI 48240,2.64%,4.64%,3,1,1071,single family,"$136,046","$125,000","$1,500",$200,$0,-2%,4.64%,"$5,264.61",$887.64,"$1,440",$500,"$6,307.75",$525.65,$11.86,-$5.11,$51.11,$57.86,$23.72,-$10.22,$51.11,$64.60,$47.43,-$20.44,$51.11,$78.10,$71.15,-$30.67,$51.11,$91.59
12507 Astor Ave Cleveland  Ohio 44135,11.09%,8.99%,3,2,1560,single family,"$119,696.67","$108,000","$1,080",$600,"$3,771.68",2.10%,8.99%,"$1,445.93",$691,"$1,008",$500,"$10,755.07",$896.26,$22.92,$5.34,$50.83,$79.09,$45.85,$10.67,$50.83,$107.35,$91.70,$21.35,$50.83,$163.88,$137.55,$32.02,$50.83,$220.40
883 Alhambra Rd Cleveland  Ohio 44110,10.61%,8.71%,5,2,1824,duplex,"$115,469.95","$110,000","$1,250",$600,"$3,619.95",1.90%,8.71%,"$1,171.62","$1,225","$1,472.52",$500,"$16,666.86","$1,388.91",$21.08,$4.57,$48.07,$73.72,$42.16,$9.13,$48.07,$99.36,$84.31,$18.27,$48.07,$150.65,$126.47,$27.40,$48.07,$201.94
11400 Linnet Ave Cleveland  OH 44111,8.85%,6.75%,3,1,924,single family,"$147,849.89","$135,000","$1,500",$600,"$2,543.51",2.10%,6.75%,"$1,163.51","$1,050.96","$1,104",$500,"$9,981.53",$831.79,$16.91,$5.32,$50.64,$72.87,$33.83,$10.63,$50.64,$95.10,$67.66,$21.27,$50.64,$139.56,$101.48,$31.90,$50.64,$184.03
1848 Baldwin Ave Memphis  Tennessee 38127,7.41%,8.31%,3,1.5,1515,single family,"$117,422.85","$103,750","$1,150",$600,"$3,894.16",-0.90%,8.31%,"$1,377.77",$697,$745.56,$500,"$9,759.67",$813.31,$21.62,-$2.29,$50.88,$70.21,$43.25,-$4.58,$50.88,$89.55,$86.50,-$9.16,$50.88,$128.22,$129.74,-$13.74,$50.88,$166.89
7014 Raymond Ave Saint Louis  MO 63130,10.83%,7.23%,2,1,567,single family,"$103,950","$97,000","$1,500",$600,$0,3.60%,7.23%,"$1,046.42",$816.73,$859.20,$500,"$7,517.58",$626.47,$15.26,$8.60,$47.77,$71.63,$30.53,$17.20,$47.77,$95.49,$61.05,$34.39,$47.77,$143.21,$91.58,$51.59,$47.77,$190.94
4312 E 162nd St Cleveland  OH 44128,7.61%,6.01%,3,1,1224,single family,"$115,216.42","$96,500","$1,500",$200,"$1,426.75",1.60%,6.01%,"$1,461.97",$825,$844.80,$500,"$6,928.23",$577.35,$14.81,$4.44,$55.45,$74.69,$29.61,$8.87,$55.45,$93.93,$59.22,$17.74,$55.45,$132.41,$88.83,$26.62,$55.45,$170.90
6914 Polonia Ave Cleveland  OH 44105,8.96%,7.36%,4,2,1902,duplex,"$117,630.81","$100,000","$1,500",$600,"$2,172.91",1.60%,7.36%,"$1,708.09",$957,"$1,228.80",$500,"$8,662.11",$721.84,$18.72,$4.37,$54.58,$77.67,$37.44,$8.73,$54.58,$100.75,$74.88,$17.47,$54.58,$146.93,$112.33,$26.20,$54.58,$193.10
3514 W 123rd St Cleveland  OH 44111,8.49%,6.39%,2,1,1248,single family,"$124,209.89","$106,000","$1,500",$200,"$3,680.18",2.10%,6.39%,"$1,838.15","$1,043",$984,$500,"$7,934.85",$661.24,$14.78,$5.73,$54.54,$75.05,$29.56,$11.45,$54.54,$95.55,$59.12,$22.91,$54.54,$136.57,$88.68,$34.36,$54.54,$177.58
1174 Tampa Ave Akron  Ohio 44314,11.77%,10.57%,3,2,920,single family,"$83,610","$82,000","$1,010",$600,$0,1.20%,10.57%,"$1,155.84",$665,$840,$500,"$8,839.16",$736.60,$27.54,$2.82,$46.96,$77.32,$55.08,$5.64,$46.96,$107.68,$110.17,$11.27,$46.96,$168.40,$165.25,$16.91,$46.96,$229.12
1388 Penhurst Rd Cleveland  OH 44110,10.54%,8.64%,2,1,796,single family,"$73,297.41","$64,000","$1,500",$600,"$1,767.33",1.90%,8.64%,$722.19,$724,$720,$500,"$6,333.81",$527.82,$19.29,$4.99,$52.48,$76.75,$38.57,$9.97,$52.48,$101.02,$77.15,$19.94,$52.48,$149.57,$115.72,$29.91,$52.48,$198.11
2337 Greenvale Rd Cleveland  OH 44121,8.65%,6.85%,2,1,754,,"$103,934.88","$87,500","$1,500",$200,"$2,192.02",1.80%,6.85%,$942.56,$820.68,$816,$500,"$7,120.76",$593.40,$24.82,$4.95,$54.97,$84.74,$49.64,$9.89,$54.97,$114.50,$99.28,$19.79,$54.97,$174.04,$148.91,$29.68,$54.97,$233.57
3024 W 103rd St Cleveland  OH 44111,13.02%,10.92%,3,1,1374,single family,"$92,054.83","$81,000","$1,500",$600,$148.10,2.10%,10.92%,"$1,004.23",$863,"$1,080",$500,"$10,052.77",$837.73,$5.02,$5.52,$52.61,$63.16,$10.05,$11.05,$52.61,$73.71,$20.10,$22.10,$52.61,$94.80,$30.15,$33.14,$52.61,$115.90
917 Pawnee Ave Memphis  TN 38109,7.73%,5.63%,3,1,864,,"$137,056.74","$100,000",$0,$0,"$1,184.94",2.10%,5.63%,$863.64,$810,$697.20,$0,"$7,718.36",$643.20,$11.48,$6.01,$57.26,$74.75,$22.96,$12.02,$57.26,$92.25,$45.92,$24.05,$57.26,$127.23,$68.88,$36.07,$57.26,$162.22
2724 Chatsworth St Memphis  TN 38127,9.62%,10.52%,2,1,816,single family,"$76,845.33","$72,000","$2,500",$600,"$1,210.08",-0.90%,10.52%,$562.29,$756,$598.50,$500,"$8,083.21",$673.60,$23.15,-$2.08,$46.12,$67.20,$46.30,-$4.15,$46.12,$88.27,$92.61,-$8.30,$46.12,$130.43,$138.91,-$12.45,$46.12,$172.58
19416 Winston St Detroit  MI 48219,9.54%,10.34%,3,1.5,980,single family,"$106,915.82","$105,000","$1,500",$600,$601.11,-0.80%,10.34%,"$1,066.87",$774.96,"$1,008",$500,"$11,050.17",$920.85,$24.65,-$1.91,$47.86,$70.59,$49.30,-$3.83,$47.86,$93.33,$98.59,-$7.66,$47.86,$138.79,$147.89,-$11.49,$47.86,$184.26
329 Stoneham Rd Memphis  TN 38109,6.26%,6.66%,3,1,1000,single family,"$118,239.55","$99,500","$1,500",$200,"$3,777.89",-0.40%,6.66%,"$1,119.92","$1,250.46",$655.50,$500,"$7,874.12",$656.18,$18.47,-$1.10,$55.05,$72.42,$36.94,-$2.20,$55.05,$89.79,$73.88,-$4.40,$55.05,$124.52,$110.82,-$6.61,$55.05,$159.26
3976 Stillwood Dr Memphis  TN 38128,7.36%,5.56%,3,2,1466,single family,"$148,297.75","$125,000","$1,500",$500,"$6,250",1.80%,5.56%,"$1,814.24","$1,089",$710.70,$500,"$8,245.76",$687.15,$14.86,$4.95,$55.02,$74.83,$29.71,$9.90,$55.02,$94.63,$59.42,$19.81,$55.02,$134.25,$89.13,$29.71,$55.02,$173.86
3139 West Blvd Cleveland  OH 44111,10.76%,8.66%,6,2,2788,duplex,"$226,095.94","$202,000","$1,500",$600,"$2,549.20",2.10%,8.66%,"$4,072.39","$1,010","$2,256",$500,"$19,581.61","$1,631.80",$22.23,$5.51,$52.49,$80.23,$44.46,$11.02,$52.49,$107.97,$88.92,$22.05,$52.49,$163.45,$133.38,$33.07,$52.49,$218.94
755 Robinwood Dr Florissant  MO 63033,11.12%,8.72%,3,1,1148,single family,"$121,100","$119,000","$1,500",$600,$0,2.40%,8.72%,"$1,497.12",$826.38,"$1,020",$500,"$10,556.50",$879.71,$20.82,$5.73,$47.76,$74.31,$41.65,$11.46,$47.76,$100.87,$83.29,$22.92,$47.76,$153.98,$124.94,$34.39,$47.76,$207.09
799 Stadelman Ave Akron  Ohio 44320,4.95%,3.45%,6,2,1869,single family,"$119,873.60","$105,000","$1,350",$600,"$4,801.74",1.50%,3.45%,"$1,305.56","$1,031",$525,$500,"$4,138.44",$344.87,$9.03,$3.89,$51.88,$64.80,$18.05,$7.78,$51.88,$77.72,$36.11,$15.56,$51.88,$103.55,$54.16,$23.35,$51.88,$129.39
9710 S Avenue L Ave Chicago  IL 60617,4.97%,3.47%,11,5,4320,triplex,"$476,260.57","$448,500","$6,703.25",$600,"$7,370.54",1.50%,3.47%,"$1,395.03","$3,150","$4,074.45",$500,"$50,340.52","$4,195.04",,,,,,,,,,,,,,,,
15711 Grovewood Ave Cleveland  Ohio 44110,13.98%,12.08%,5,3,2580,triplex,"$196,529.86","$182,000","$1,820",$600,"$12,109.86",1.90%,12.08%,"$1,232.35","$1,028","$2,100",$500,"$23,739.65","$1,978.30",$27.42,$4.72,$49.68,$81.82,$54.85,$9.44,$49.68,$113.97,$109.69,$18.88,$49.68,$178.25,$164.54,$28.32,$49.68,$242.54
566 Sumner St Akron  OH 44311,12.68%,9.01%,4,1,1170,single family,"$119,250","$105,000","$1,050",$600,"$5,250",3.67%,9.01%,"$1,402",$597.40,"$1,152",$500,"$10,748.60",$895.72,$22.53,$9.17,$50,$81.70,$45.05,$18.35,$50,$113.40,$90.10,$36.70,$50,$176.80,$135.15,$55.05,$50,$240.20
703 23rd Ave Rock Island  Illinois 61201,11.11%,8.81%,2,1.5,978,single family,"$82,749.40","$76,000","$1,030",$600,"$5,119.40",2.30%,8.81%,"$1,961.08",$625.37,$963.90,$500,"$7,289.65",$607.47,$20.63,$5.69,$49.47,$75.79,$41.26,$11.38,$49.47,$102.11,$82.52,$22.76,$49.47,154.74,$123.77,$34.13,$49.47,$207.38
10724 Gooding Ave Cleveland  OH 44108,16.98%,14.98%,5,2,2888,duplex,"$105,171","$110,000","$1,250",$600,"$3,631.30",2%,14.98%,$461.04,$989,"$1,851.30",$500,"$15,758.66","$1,313.22",$20.97,$4.39,$43.86,$69.21,$41.93,$8.77,$43.86,$94.56,$83.86,$17.54,$43.86,$145.26,$125.79,$26.32,$43.86,$195.97
4408 17th Ave Rock Island  Illinois 61201,11.24%,8.94%,2,1,1068,single family,"$69,187.75","$64,000","$1,620",$600,"$4,560.77",2.30%,8.94%,"$2,650.96","$1,092",$969,$500,"$6,188.04",$515.67,$19.97,$5.55,$48.23,$73.74,$39.93,$11.09,$48.23,$99.26,$79.87,$22.19,$48.23,$150.28,$119.80,$33.28,$48.23,$201.31
323 E 9th St Davenport  IA 52803,11.29%,9.09%,5,1.5,1550,single family,"$126,704.87","$110,000","$2,200",$600,"$13,904.87",2.20%,9.09%,"$1,414","$1,372.44","$1,650",$550,"$11,513.56",$959.46,$23.34,$5.49,$49.92,$78.75,$46.68,$10.98,$49.92,$107.58,$93.35,$21.96,$49.92,$165.24,$140.03,$32.95,$49.92,$222.89
1584 Hampton Rd Akron  OH 44305,11.74%,10.14%,3,1.5,1232,single family,"$87,719.78","$80,500","$1,000",$600,"$3,166.78",1.60%,10.14%,"$1,527.56","$1,152","$1,122",$500,"$8,898.44",$741.54,$24.57,$3.95,$49.33,$77.84,$49.13,$7.89,$49.33,$106.36,$98.27,$15.79,$49.33,$163.38,$147.40,$23.68,$49.33,$220.41
15555 Millard Ave Markham  IL 60428,12.35%,9.35%,4,2,1350,single family,"$146,618.50","$143,000","$2,500",$600,$518.50,3%,9.35%,"$3,621.07","$1,233","$1,163.34",$500,"$13,714.59","$1,142.88",$21.28,$7.17,$47.77,$76.22,$42.56,$14.33,$47.77,$104.66,$85.13,$28.66,$47.77,$161.56,$127.69,$42.99,$47.77,$218.45
142 13th St Silvis  IL 61282,12.11%,9.61%,3,2.5,2204,duplex,"$129,065.76","$120,000","$1,800",$600,"$5,203.32",2.50%,9.61%,"$3,685.24",$745.42,"$1,683",$500,"$12,406.34","$1,033.86",$23.64,$6.14,$49.14,$78.92,$47.27,$12.29,$49.14,$108.70,$94.55,$24.57,$49.14,$168.26,$141.82,$36.86,$49.14,$227.81
1315 E 114th St Cleveland  OH 44106,12.39%,9.99%,4,1,1456,single family,"$110,442.54","$92,319","$12,535",$600,"$4,988.54",2.40%,9.99%,"$2,115",$578,"$1,071",$500,"$11,036",$919.67,$24.58,$5.86,$48.87,$79.32,$49.16,$11.73,$48.87,$109.76,$98.33,$23.46,$48.87,$170.65,$147.49,$35.19,$48.87,$231.55
10157 Winkler Dr St. Louis  Missouri 63136,12.19%,9.79%,2,1,792,single family,"$80,734.55","$71,948.45","$2,812.55",$600,"$5,373.55",2.40%,9.79%,$986,$540,$751.80,$558,"$7,904.20",$658.68,$24.19,$5.88,$49.01,$79.08,$48.37,$11.76,$49.01,$109.15,$96.75,$23.52,$49.01,$169.28,$145.12,$35.29,$49.01,$229.42
1236 W 7th St Davenport  IA 52802,12.02%,9.42%,4,2,2062,single family,"$74,823.29","$70,260","$1,054",$600,"$2,909.29",2.60%,9.42%,"$1,270.58","$1,065",$859.20,$500,"$7,045.22",$587.10,$24.53,$6.20,$47.72,$78.45,$49.06,$12.41,$47.72,$109.18,$98.11,$24.81,$47.72,$170.65,$147.17,$37.22,$47.72,$232.11
12808 Gruss Ave Cleveland  OH 44108,13.40%,12.10%,4,2,2214,duplex,"$72,571.96","$60,000","$1,500",$600,$0,1.30%,12.10%,$771.93,$826.38,$987,$500,"$8,711.07",$725.92,$30.28,$3.25,$50.05,$83.58,$60.56,$6.51,$50.05,$117.12,$121.12,$13.01,$50.05,$184.18,$181.68,$19.52,$50.05,$251.25
615 Rose Ln Davenport  IA 52802,12.11%,9.51%,3,1.5,1097,single family,"$74,175.17","$68,000","$1,340",$600,"$4,235.17",2.60%,9.51%,"$1,264.52","$1,009",$912.90,$500,"$7,053.58",$587.80,$21.83,$6.29,$48.40,$76.52,$43.66,$12.58,$48.40,$104.64,$87.31,$25.17,$48.40,$160.88,$130.97,$37.75,$48.40,$217.12
26931 Shoreview Ave Euclid  OH 44132,10.91%,9.31%,4,1.5,1728,single family,"$123,320.16","$117,700","$1,776",$600,"$3,244.16",1.60%,9.31%,"$2,872.97",$764.89,"$1,176",$500,"$11,486.14",$957.18,$22.43,$3.80,$47.52,$73.75,$44.86,$7.60,$47.52,$99.98,$89.72,$15.21,$47.52,$152.44,$134.58,$22.81,$47.52,$204.91
783 Leonard St Akron  OH 44307,15.78%,13.08%,3,1,1040,single family,"$75,440.01","$70,000","$1,050",$600,$12.74,2.70%,13.08%,$807.22,$971,"$1,056",$500,"$9,865.78",$822.15,$31.60,$6.73,$49.85,$88.18,$63.21,$13.46,$49.85,$126.52,$126.42,$26.92,$49.85,$203.19,$189.63,$40.38,$49.85,$279.86
614 E 97th St Cleveland  Ohio 44108,12.48%,10.48%,6,3,2113,duplex,"$130,161.93","$115,465","$1,280",$600,"$4,744.77",2%,10.48%,"$1,881.80",$908,"$1,337.28",$500,"$13,636.92","$1,136.41",$27.16,$5.15,$51.53,$83.84,$54.31,$10.31,$51.53,$116.15,$108.63,$20.61,$51.53,$180.77,$162.94,$30.92,$51.53,$245.39
6746 Westwood St Detroit  MI 48228,10.59%,11.69%,2,1,719,single family,"$72,140.95","$64,938","$3,364",$600,"$3,238.95",-1.10%,11.69%,"$1,218",$951,$840,$558,"$8,433",$702.75,$28.09,-$2.68,$48.81,$74.22,$56.18,-$5.37,$48.81,$99.62,$112.36,-$10.74,$48.81,$150.43,$168.54,-$16.11,$48.81,$201.24
918 Frederick Blvd Akron  Ohio 44320,10.24%,8.74%,3,1,1266,single family,"$74,210.01","$65,000","$1,100",$600,"$5,387.11",1.50%,8.74%,"$1,989.84",$790,$735,$500,"$6,485.16",$540.43,$20.22,$3.79,$50.54,$74.55,$40.43,$7.58,$50.54,$98.55,$80.86,$15.16,$50.54,$146.57,$121.30,$22.74,$50.54,$194.58
209 E 13th St Davenport  Iowa 52803,14.50%,12.30%,3,1,1144,single family,"$66,651","$64,965","$1,086",$600,$0,2.20%,12.30%,"$1,232.20","$1,053.61",$955.20,$500,"$8,198.99",$683.25,$27.23,$5.06,$45.96,$78.25,$54.46,$10.11,$45.96,$110.53,$108.93,$20.22,$45.96,$175.11,$163.39,$30.33,$45.96,$239.68
6422 Mount Ave St. Louis  MO 63121,11.20%,8.50%,3,2,1400,single family,"$101,463.72","$97,000","$1,500",$600,"$2,363.72",2.70%,8.50%,"$1,260.63",$765,$969.60,$500,"$8,624.77",$718.73,$16.27,$6.66,$49.30,$72.22,$32.54,$13.31,$49.30,$95.15,$65.08,$26.62,$49.30,$141,$97.61,$39.93,$49.30,$186.85
3561 Daleford Rd Shaker Heights  OH 44120,11.22%,9.02%,6,2,2636,duplex,"$216,504.31","$189,000","$2,500",$600,"$1,608.07",2.20%,9.02%,"$6,005.34","$1,350.36","$2,380.80",$500,"$19,523.50","$1,626.96",$22.03,$5.85,$53.16,$81.04,$44.07,$11.70,$53.16,$108.92,$88.14,$23.39,$53.16,$164.69,$132.21,$35.09,$53.16,$220.45
127 Hausman St Toledo  OH 43608,11.23%,9.33%,3,1,1475,single family,"$79,300","$67,590","$6,160",$550,"$5,000",1.90%,9.33%,$969,$470,$812,$550,"$7,399",$616.58,$23.33,$4.75,$50,$78.08,$46.65,$9.50,$50,$106.15,$93.30,$19,$50,$162.30,$139.95,$28.50,$50,$218.45
1106 29th Ave Rock Island  IL 61201,12.17%,9.87%,3,1,1416,single family,"$82,325.54","$80,000","$1,200",$600,"$7,323.62",2.30%,9.87%,"$2,404.04",$561.26,"$1,008",$500,"$8,126.70",$677.23,$22.95,$5.39,$46.83,$75.16,$45.89,$10.77,$46.83,$103.49,$91.79,$21.54,$46.83,$160.16,$137.68,$32.31,$46.83,$216.82
